N,p,q,type,rad_odd_p,rad_odd_q,conductor_proxy,rho
1024,216,808,Composite,3,101,91809,1.648635
1024,217,807,Composite,217,807,30666664161,3.483595
1024,218,806,Composite,109,403,1929581329,3.084564
1024,219,805,Composite,219,805,31079927025,3.485526
1024,220,804,Composite,55,201,122213025,2.686482
1024,221,803,Composite,221,803,31493116369,3.487432
1024,222,802,Composite,111,401,1981229121,3.088375
1024,223,801,Mixed,223,267,3545130681,3.172319
1024,224,800,Composite,7,5,1225,1.025857
1024,225,799,Composite,15,799,143640225,2.709788
1024,226,798,Composite,113,399,2032837569,3.092085
1024,227,797,Goldbach,227,797,32731684561,3.492997
1024,228,796,Composite,57,199,128663649,2.693903
1024,229,795,Mixed,229,795,33144023025,3.494803
1024,230,794,Composite,115,397,2084379025,3.095697
1024,231,793,Composite,231,793,33556011489,3.496585
1024,232,792,Composite,29,33,915849,1.980475
1024,233,791,Mixed,233,791,33967595809,3.498344
1024,234,790,Composite,39,395,237314025,2.782222
1024,235,789,Composite,235,789,34378722225,3.50008
1024,236,788,Composite,59,197,135094129,2.700939
1024,237,787,Mixed,237,787,34789337361,3.501793
1024,238,786,Composite,119,393,2187152289,3.102641
1024,239,785,Mixed,239,785,35199388225,3.503483
1024,240,784,Composite,15,7,11025,1.342849
1024,241,783,Mixed,241,87,439615089,2.871167
1024,242,782,Composite,11,391,18498601,2.414091
1024,243,781,Composite,3,781,5489649,2.238828
1024,244,780,Composite,61,195,141491025,2.707614
1024,245,779,Composite,35,779,743380225,2.946953
1024,246,778,Composite,123,389,2289335409,3.109228
1024,247,777,Composite,247,777,36832902561,3.510028
1024,248,776,Composite,31,97,9042049,2.310822
1024,249,775,Composite,249,155,1489574025,3.047225
1024,250,774,Composite,5,129,416025,1.866631
1024,251,773,Goldbach,251,773,37644924529,3.513174
1024,252,772,Composite,21,193,16426809,2.396955
1024,253,771,Composite,253,771,38049573969,3.514716
1024,254,770,Composite,127,385,2390721025,3.11548
1024,255,769,Mixed,255,769,38453249025,3.516239
1024,256,768,Composite,1,3,9,0.316993
1024,257,767,Mixed,257,767,38855900161,3.517741
1024,258,766,Composite,129,383,2441051649,3.118486
1024,259,765,Composite,259,255,4361942025,3.202232
1024,260,764,Composite,65,191,154132225,2.719959
1024,261,763,Composite,87,763,4406437161,3.203697
1024,262,762,Composite,131,381,2491107921,3.121414
1024,263,761,Goldbach,263,761,40057220449,3.522134
1024,264,760,Composite,33,95,9828225,2.32285
1024,265,759,Composite,265,759,40455288225,3.523561
1024,266,758,Composite,133,379,2540865649,3.124267
1024,267,757,Mixed,267,757,40852090161,3.524969
1024,268,756,Composite,67,21,1979649,2.091681
1024,269,755,Mixed,269,755,41247579025,3.526359
1024,270,754,Composite,15,377,31979025,2.493062
1024,271,753,Mixed,271,753,41641707969,3.527731
1024,272,752,Composite,17,47,638401,1.92841
1024,273,751,Mixed,273,751,42034430529,3.529085
1024,274,750,Composite,137,15,4223025,2.200985
1024,275,749,Composite,55,749,1697028025,3.066036
1024,276,748,Composite,69,187,166487409,2.731084
1024,277,747,Mixed,277,249,4757274729,3.214749
1024,278,746,Composite,139,373,2688111409,3.132395
1024,279,745,Composite,93,745,4800411225,3.216051
1024,280,744,Composite,35,93,10595025,2.333688
1024,281,743,Goldbach,281,743,43590341089,3.534329
1024,282,742,Composite,141,371,2736440721,3.134965
1024,283,741,Mixed,283,741,43975348209,3.535598
1024,284,740,Composite,71,185,172528225,2.736226
1024,285,739,Mixed,285,739,44358678225,3.53685
